country,city,pop
Finland,Helsinki,836728.5
Germany,Duisburg,882381
United Kingdom,Glasgow,885134
Netherlands,Amsterdam,886318
Japan,Hamamatsu,887242.5
Germany,Düsseldorf,906196.5
Israel,Jerusalem,915150
United Kingdom,Sheffield,922800
Italy,Florence,935758.5
France,Lyon,947658.5
Netherlands,The Hague,953862.5
United States of America,Kansas City,955272.5
Spain,Seville,957533
Canada,Ottawa,978564.5
Germany,Cologne,983697.5
Australia,Adelaide,990677
United Kingdom,Leeds,992061.5
Guatemala,Guatemala,1009469
Ireland,Dublin,1013988
Bulgaria,Sofia,1029913.5
Kuwait,Kuwait,1061532
Dominican Republic,Santo Domingo,1078436.5
Qatar,Doha,1090655
France,Marseille,1097405.5
Serbia,Belgrade,1099000
United Arab Emirates,Dubai,1258173.5
Sweden,Stockholm,1258654.5
Germany,Munich,1267695.5
United Kingdom,Manchester,1312757.5
Japan,Kawasaki,1372025.5
Argentina,Córdoba,1374467.5
Belgium,Brussels,1381011
United States of America,Baltimore,1432946
Canada,Vancouver,1458415
Poland,Katowice,1527362
Japan,Hiroshima,1594420.5
Italy,Naples,1619486
Japan,Kyoto,1632320
United Kingdom,Birmingham,1634666.5
Portugal,Lisbon,1664901
Hungary,Budapest,1679000
Morocco,Rabat,1680376.5
Italy,Rome,1687226
Belarus,Minsk,1691069
Poland,Warsaw,1704569.5
Israel,Tel Aviv-Yafo,1745179
Germany,Hamburg,1748058.5
Germany,Stuttgart,1775644
Lebanon,Beirut,1779062.5
Germany,Frankfurt,1787332
Romania,Bucharest,1842097
Greece,Athens,1985568.5
Azerbaijan,Baku,2007150
Austria,Vienna,2065500
Cuba,Havana,2082458.5
United States of America,San Francisco,2091036
Italy,Milan,2125830.5
Australia,Melbourne,2131812.5
Syria,Aleppo,2170132
Japan,Sapporo,2202893
Turkey,Izmir,2454909
United States of America,Atlanta,2464454
Syria,Damascus,2466000
United States of America,Boston,2528070.5
Egypt,El Giza,2681863
Japan,Nagoya,2710639.5
Spain,Madrid,2808718.5
Taiwan,New Taipei,2821870
South Africa,Cape Town,2823929
China,Changchun,2860210.5
Kenya,Nairobi,2880273.5
Chile,Santiago,2883305.5
North Korea,Pyongyang,2899398.5
Vietnam,Hanoi,2904635
United States of America,Miami,2983947
United States of America,Dallas,3004852
Canada,Montréal,3017278
Brazil,Salvador,3081422.5
Brazil,Brasilia,3139979.5
Afghanistan,Kabul,3160266
Morocco,Casablanca,3162954.5
Germany,Berlin,3250007
Spain,Barcelona,3250797.5
China,Hechi,3275189.5
Sudan,Khartoum,3364323.5
China,Nanjing,3383005
United States of America,Philadelphia,3504775
Turkey,Ankara,3511689.5
Japan,Yokohama,3697894
Egypt,Alexandria,3988258
Russia,St. Petersburg,4023106
United States of America,Houston,4053287
Australia,Sydney,4135711
Singapore,Singapore,4236614.5
Canada,Toronto,4573710.5
Nigeria,Lagos,4733768
Taiwan,Taipei,4759522.5
France,Paris,4957588.5
Iraq,Baghdad,5054000
Thailand,Bangkok,5904238
United States of America,Chicago,5915976
India,Bangalore,5945523.5
Brazil,Rio de Janeiro,6879087.5
Japan,Osaka,6943206.5
Colombia,Bogota,7052830.5
Iran,Tehran,7513154.5
United Kingdom,London,7994104.5
United States of America,Los Angeles,8097410
Indonesia,Jakarta,8832560.5
China,Beijing,9293300.5
South Korea,Seoul,9796000
Egypt,Cairo,9813807
Bangladesh,Dhaka,9899167
Turkey,Istanbul,10003305
Russia,Moscow,10452000
India,Delhi,11779606.5
Argentina,Buenos Aires,11862073
Pakistan,Karachi,11877109.5
United States of America,New York,13524139
Brazil,Sao Paulo,14433147.5
China,Shanghai,14797756
Mexico,Mexico City,14919501
India,Mumbai,15834918
Japan,Tokyo,22006299.5
